location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,2.26683706339166e-05
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,2.26683789537235e-05
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,2.26684330176348e-05
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.00244724876010024
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,2.26699671597414e-05
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.00244725147948535
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.00226653562141066
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.00444760817670907
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.0253638242546465
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.0631265178045439
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.0983425781928423
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.141529246973771
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.187447737636052
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.200118170656465
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.117532968077481
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.0638619193070044
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.0351422850618327
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.0208421407582621
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.0156405566621316
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.00618574440723343
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.00246354803184621
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.00322907811165951
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.000469428255068404
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.000134358337714449
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,2.26683652631306e-05
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.00123495833488171
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.00123495833488171
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.000426765021802656
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,2.26683652631306e-05
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,2.26683652631306e-05
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,2.26683652631306e-05
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,2.26683652631306e-05
