location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,9.4243110089238e-05
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,0.000477639411392457
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,0.002635438220493
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.00779966507232871
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.0127846994489228
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.0198132924287637
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.0224083925816635
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.0220671125812496
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.0259940970534458
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.0337058003845831
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.0470966998865594
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.0640125459040402
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.19810072063755
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.36203146518919
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.0990343068403359
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.0265391319500061
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.016034225925873
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.0119323576945959
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.00645846402677885
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.00317166151288897
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.00163069873374151
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.00195062439201652
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.000798716159555518
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.000620175823328177
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.000522101781189668
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.000968838060752305
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.000895600668402949
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.000490694537153421
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.00031986670913406
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.000274093338915713
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.000253287261543737
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.000232481184171761
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.000194198001807325
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.000169230708960953
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.000150921360873615
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.000153418090158252
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.000477596641204513
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.000135940985165792
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.000117631637078453
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.000127618554217002
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.000114302664698937
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.000100154532085993
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.000107644719939905
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,0.000105980233750147
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.00010265126137063
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,9.84900458962352e-05
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,9.3496587326961e-05
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,8.35096701884125e-05
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,8.35096701884125e-05
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,0.000418507381468101
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,8.51741563781706e-05
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,8.18451839986544e-05
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,8.68386425679286e-05
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,7.93484547140173e-05
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,8.10129409037754e-05
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,8.51741563781706e-05
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,8.10129409037754e-05
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,8.18451839986544e-05
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,7.5187239239622e-05
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,7.68517254293801e-05
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,7.68517254293801e-05
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,7.3522753049864e-05
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,7.3522753049864e-05
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,7.5187239239622e-05
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,7.68517254293801e-05
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,7.3522753049864e-05
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,7.60194823345011e-05
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,7.4354996144743e-05
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,7.3522753049864e-05
HHS Region 1,1 wk ahead,Bin,percent,6.9,7.0,7.26905099549849e-05
HHS Region 1,1 wk ahead,Bin,percent,7.0,7.1,7.4354996144743e-05
HHS Region 1,1 wk ahead,Bin,percent,7.1,7.2,7.4354996144743e-05
HHS Region 1,1 wk ahead,Bin,percent,7.2,7.3,7.3522753049864e-05
HHS Region 1,1 wk ahead,Bin,percent,7.3,7.4,7.3522753049864e-05
HHS Region 1,1 wk ahead,Bin,percent,7.4,7.5,7.3522753049864e-05
HHS Region 1,1 wk ahead,Bin,percent,7.5,7.6,7.68517254293801e-05
HHS Region 1,1 wk ahead,Bin,percent,7.6,7.7,7.3522753049864e-05
HHS Region 1,1 wk ahead,Bin,percent,7.7,7.8,7.5187239239622e-05
HHS Region 1,1 wk ahead,Bin,percent,7.8,7.9,7.26905099549849e-05
HHS Region 1,1 wk ahead,Bin,percent,7.9,8.0,7.3522753049864e-05
HHS Region 1,1 wk ahead,Bin,percent,8.0,8.1,7.3522753049864e-05
HHS Region 1,1 wk ahead,Bin,percent,8.1,8.2,7.26905099549851e-05
