location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,4.33220266333895e-05
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,4.33220266334173e-05
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,4.3322026633598e-05
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.000873669958833025
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,4.33220266387266e-05
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.000873669958842116
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.00116281784384365
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.00787741907525095
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.0383846461733543
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.085894519625263
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.133114058356293
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.155830218308027
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.163350436989886
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.135962010422198
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.110445675650374
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.0654627548819237
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.0435163034936127
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.0244018784223994
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.0146945027417661
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.00548885771376478
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.00280996163140682
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.00237005718344247
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.000898400440696781
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.000257091630149224
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.000458495992732437
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.000458495992732437
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.000181713348666393
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.000320104670699415
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,0.000320104670699415
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,6.9,7.0,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,7.0,7.1,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,7.1,7.2,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,7.2,7.3,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,7.3,7.4,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,7.4,7.5,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,7.5,7.6,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,7.6,7.7,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,7.7,7.8,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,7.8,7.9,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,7.9,8.0,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,8.0,8.1,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,8.1,8.2,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,8.2,8.3,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,8.3,8.4,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,8.4,8.5,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,8.5,8.6,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,8.6,8.7,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,8.7,8.8,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,8.8,8.9,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,8.9,9.0,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,9.0,9.1,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,9.1,9.2,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,9.2,9.3,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,9.3,9.4,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,9.4,9.5,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,9.5,9.6,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,9.6,9.7,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,9.7,9.8,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,9.8,9.9,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,9.9,10.0,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,10.0,10.1,4.33220266333715e-05
HHS Region 1,1 wk ahead,Bin,percent,10.1,10.2,4.33220266333715e-05
