location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.000911537612435328
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.000911537612435328
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.00110218800920531
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.00624428148555822
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.0308405708398353
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.069726754194655
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.111286234646834
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.13428100229209
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.187714395711728
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.20244343952163
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.111169282291693
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.0564914608513303
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.0372648162201297
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.0217199778338238
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.0124711680915486
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.00469686991036966
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.00232569878145162
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.00209063158262421
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.000707904027125061
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.000202578039901255
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.000472836828297657
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.000472836828297657
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.000180369638872543
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.0003266032335851
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,0.0003266032335851
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,3.4136044159986e-05
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,3.4136044159986e-05
