location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,1.76010307888032e-05
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,1.76010308307703e-05
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,1.7601031103482e-05
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.00201690652363477
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,1.76010388420713e-05
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.00201690653735202
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.0018573911459017
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.00347745798155963
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.0200269170768997
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.0501320680841179
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.0820218957515427
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.119347579636074
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.210134577884493
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.262472432635664
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.116274882644503
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.0533079688913731
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.0299879292224687
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.0186211621262894
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.012617930922236
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.00499994761544918
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.00197261579908543
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.00262486417235969
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.000365005402774897
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.000104452123765008
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,1.76010307617116e-05
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.00101725377604916
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.00101725377604916
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.000350818612524195
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,1.76010307617116e-05
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,1.76010307617116e-05
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,1.76010307617116e-05
